number,answer,level
1051,1-0/5=1;1=0*5+1;1-0*5=1;1+0*5=1;1+0/5=1;1=0/5+1,easy
1054,1⁰=5-4;1=0+5-4;1+0=5-4;1-0=5-4,easy
1055,1*0+5=5;1⁰=5/5;1*0=5-5;1=0+5/5;1⁰*5=5;1+0=5/5;1-0=5/5,easy
1056,1-0+5=6;1⁰+5=6;1=0-5+6;1+0+5=6,easy
1060,1+0=6⁰;1*0=6*0;1=0+6⁰;1*0/6=0;1-0=6⁰;1⁰=6⁰;1*0*6=0,easy
1061,1-0*6=1;1+0/6=1;1+0*6=1;1-0/6=1;1=0/6+1;1=0*6+1,easy
1065,1=0+6-5;1+0=6-5;1-0=6-5;1⁰=6-5,easy
1066,1*0=6-6;1-0=6/6;1*0+6=6;1⁰*6=6;1⁰=6/6;1=0+6/6;1+0=6/6,easy
1067,1=0-6+7;1+0+6=7;1-0+6=7;1⁰+6=7,easy
1070,1⁰=7⁰;1+0=7⁰;1-0=7⁰;1=0+7⁰;1*0=7*0;1*0/7=0;1*0*7=0,easy
1071,1+0/7=1;1=0*7+1;1-0/7=1;1+0*7=1;1=0/7+1;1-0*7=1,easy
1076,1-0=7-6;1⁰=7-6;1+0=7-6;1=0+7-6,easy
1077,1⁰*7=7;1=0+7/7;1*0=7-7;1*0+7=7;1⁰=7/7;1-0=7/7;1+0=7/7,easy
1078,1⁰+7=8;1+0+7=8;1=0-7+8;1-0+7=8,easy
1080,1*0*8=0;1-0=8⁰;1=0+8⁰;1⁰=8⁰;1+0=8⁰;1*0=8*0;1*0/8=0,easy
1081,1-0/8=1;1=0/8+1;1+0*8=1;1=0*8+1;1+0/8=1;1-0*8=1,easy
1087,1=0+8-7;1-0=8-7;1⁰=8-7;1+0=8-7,easy
1088,1*0+8=8;1⁰=8/8;1⁰*8=8;1-0=8/8;1+0=8/8;1*0=8-8;1=0+8/8,easy
1089,1-0+8=9;1⁰+8=9;1=0-8+9;1+0+8=9,easy
1090,1*0/√9=0;1=0+√9⁰;1-0=√9⁰;1*0*9=0;1=0+9⁰;1-0=9⁰;1*0*√9=0;1+0=9⁰;1⁰=9⁰;1*0/9=0;1⁰=√9⁰;1*0=√9*0;1+0=√9⁰;1*0=9*0,easy
1091,1-0/9=1;1+0*9=1;1=0/9+1;1=0/√9+1;1=0*√9+1;1+0/9=1;1+0/√9=1;1-0/√9=1;1-0*√9=1;1=0*9+1;1-0*9=1;1+0*√9=1,easy
1092,1+0=√9-2;1-0=√9-2;1⁰=√9-2;1=0+√9-2,medium
1093,1*0=√9-3;1=0+√9/3;1-0=√9/3;1+0=√9/3;1⁰=√9/3;1⁰*√9=3;1*0+√9=3,medium
1094,1+0+√9=4;1⁰+√9=4;1=0-√9+4;1-0=√9-√4;1=0+√9-√4;1-0+√9=4;1⁰=√9-√4;1+0=√9-√4,medium
1098,1-0=9-8;1=0+9-8;1+0=9-8;1⁰=9-8,easy
1099,1⁰=9/9;1-0=9/9;1+0=√9/√9;1*0+√9=√9;1*0=9-9;1*0+9=9;1⁰*9=9;1-0=√9/√9;1=0+√9/√9;1⁰=√9/√9;1=0+9/9;1*0=√9-√9;1+0=9/9;1⁰*√9=√9,easy
1100,1=1-0+0;1-1⁰=0;1*1=0⁰;1*1*0=0;1=1⁰⁰;1=1⁰-0;1-1=0-0;1=1⁰+0;1=1+0*0;1=1+0+0;1¹*0=0;1-1+0=0;1-1=0*0;1=1-0-0;1=1-0*0;1-1-0=0;1/1=0⁰;1=1*0⁰;1/1*0=0;1-1=0+0;1=1+0-0;1¹=0⁰,easy
1101,1/1-0=1;1¹⁰=1;1/1+0=1;1=1-0¹;1=1⁰/1;1=1+0¹;1-1=0¹;1*1-0=1;1-1*0=1;1=1⁰*1;1*1=0+1;1/1⁰=1;1=1*0+1;1¹+0=1;1=1+0*1;1=1⁰¹;1=1-0/1;1¹=0+1;1*1⁰=1;1=1-0*1;1/1=0+1;1*1+0=1;1+1*0=1;1=1+0/1;1¹-0=1;1-1=0*1;1-1=0/1,easy
1102,1+1-0=2;1=1-0/2;1-1=0*2;1-1=0/2;1+1+0=2;1-1=0²;1+1=0+2;1=1-0*2;1+1⁰=2;1=1⁰²;1=1+0²;1=1-0²;1=1+0/2;1=1+0*2,easy
1103,1=1+0/3;1-1=0*3;1=1-0*3;1=1+0*3;1=1-0/3;1-1=0/3,easy
1104,1=1+0*√4;1=1+0/4;1+1⁰=√4;1=1-0/√4;1+1-0=√4;1=1+0/√4;1-1=0*√4;1-1=0*4;1+1=0+√4;1-1=0/√4;1=1+0*4;1=1-0*4;1-1=0/4;1=1-0*√4;1+1+0=√4;1=1-0/4,easy
1105,1=1-0/5;1=1+0/5;1=1+0*5;1-1=0/5;1-1=0*5;1=1-0*5,easy
1106,1=1-0*6;1-1=0/6;1-1=0*6;1=1+0/6;1=1+0*6;1=1-0/6,easy
1107,1=1-0*7;1=1+0*7;1-1=0*7;1=1+0/7;1=1-0/7;1-1=0/7,easy
1108,1=1-0/8;1=1-0*8;1=1+0/8;1=1+0*8;1-1=0*8;1-1=0/8,easy
1109,1=1+0*9;1-1=0/9;1=1-0*9;1-1=0*√9;1=1-0*√9;1=1-0/9;1=1+0*√9;1=1+0/√9;1-1=0*9;1=1+0/9;1-1=0/√9;1=1-0/√9,easy
1110,1=1¹-0;1*1-1=0;1-1¹=0;1=1*1+0;1=1/1-0;1*1=1-0;1¹=1⁰;1=1-1*0;1/1-1=0;1/1=1-0;1=1¹+0;1-1/1=0;1=1¹⁰;1¹-1=0;1/1=1+0;1=1/1⁰;1=1*1⁰;1=1+1*0;1*1=1+0;1*1=1⁰;1-1=1*0;1=1/1+0;1¹=1+0;1=1*1-0;1-1*1=0;1¹=1-0;1/1=1⁰,easy
1111,1¹=1/1;1¹/1=1;1*1/1=1;1¹=1*1;1=1+1-1;1=1*1¹;1¹¹=1;1/1=1*1;1=1¹/1;1*1*1=1;1*1=1¹;1=1/1*1;1=1¹¹;1-1=1-1;1/1=1/1;1=1/1¹;1*1=1*1;1/1*1=1;1/1¹=1;1=1/1/1;1+1-1=1;1=1*1/1;1*1=1/1;1¹=1¹;1=1¹*1;1/1/1=1;1-1+1=1;1/1=1¹;1=1*1*1;1*1¹=1;1¹*1=1;1=1-1+1;1+1=1+1,easy
1112,1=1¹²;1+1¹=2;1+1=1*2;1=1/1²;1/1+1=2;1¹=1²;1¹+1=2;1+1/1=2;1=1*1²;1*1=1²;1+1*1=2;1/1=1²;1*1+1=2,easy
1113,1+1+1=3,hard
1114,1+1=1*√4;1*1+1=√4;1+1*1=√4;1/1+1=√4;1¹+1=√4;1+1¹=√4;1+1/1=√4,medium
1119,1+1+1=√9,hard
1120,1+1=2+0;1=1²-0;1=1-2*0;1-1²=0;1-1=2*0;1/1=2⁰;1=1/2⁰;1+1-2=0;1=1²+0;1*1=2⁰;1¹=2⁰;1=1*2⁰;1=1+2*0;1+1=2-0;1=1²⁰,easy
1121,1*1=2-1;1+1=2*1;1/1²=1;1+1=2¹;1¹=2-1;1+1=2/1;1¹²=1;1=1²¹;1=1²/1;1/1=2-1;1=1*2-1;1*1²=1;1=1²*1,easy
1122,1=1²²;1-1+2=2;1+1²=2;1=1*2/2;1=1+2-2;1-1=2-2;1*1*2=2;1/1*2=2;1¹*2=2;1*1=2/2;1¹=2/2;1/1=2/2;1=1-2+2;1=1/2*2,easy
1123,1¹+2=3;1*1+2=3;1/1+2=3;1+1*2=3,easy
1124,1-1+2=√4;1=1/2*√4;1/1*2=√4;1+1+2=4;1*1*2=√4;1=1-2+√4;1¹*2=√4;1+1²=√4;1*1=2/√4;1-1=2-√4;1¹=2/√4;1=1*2/√4;1/1=2/√4;1=1+2-√4,medium
1129,1/1+2=√9;1¹+2=√9;1+1*2=√9;1*1+2=√9,medium
1130,1*1=3⁰;1/1=3⁰;1=1-3*0;1=1+3*0;1=1/3⁰;1¹=3⁰;1=1*3⁰;1-1=3*0,easy
1131,1+1=3-1,hard
1132,1¹=3-2;1/1=3-2;1*1=3-2;1=1*3-2,easy
1133,1¹=3/3;1*1*3=3;1=1/3*3;1-1=3-3;1/1=3/3;1=1+3-3;1/1*3=3;1=1-3+3;1*1=3/3;1=1*3/3;1¹*3=3;1-1+3=3,easy
1134,1/1+3=4;1=1*3-√4;1¹+3=4;1*1=3-√4;1¹=3-√4;1/1=3-√4;1+1*3=4;1*1+3=4,easy
1135,1+1+3=5,hard
1139,1=1/3*√9;1-1+3=√9;1/1=3/√9;1/1*3=√9;1-1=3-√9;1¹=3/√9;1¹*3=√9;1=1+3-√9;1*1=3/√9;1=1-3+√9;1*1*3=√9;1=1*3/√9,medium
1140,1*1=√4⁰;1/1=4⁰;1-1=√4*0;1=1-4*0;1=1-√4*0;1+1=√4-0;1+1-√4=0;1=1/4⁰;1*1=4⁰;1¹=√4⁰;1/1=√4⁰;1+1=√4+0;1=1*4⁰;1=1*√4⁰;1¹=4⁰;1=1+4*0;1=1+√4*0;1=1/√4⁰;1-1=4*0,easy
1141,1+1=√4/1;1+1=√4*1;1*1=√4-1;1¹=√4-1;1=1*√4-1;1+1=√4¹;1/1=√4-1,medium
1142,1*1=√4/2;1=1/√4*2;1¹=√4/2;1+1=4-2;1=1-√4+2;1¹*√4=2;1/1*√4=2;1=1*√4/2;1-1+√4=2;1-1=√4-2;1+1=4/2;1/1=√4/2;1*1*√4=2;1=1+√4-2,easy
1143,1*1=4-3;1¹=4-3;1+1*√4=3;1/1=4-3;1¹+√4=3;1*1+√4=3;1=1*4-3;1/1+√4=3,easy
1144,1+1+√4=4;1*1*4=4;1/1*√4=√4;1=1+√4-√4;1=1+4-4;1-1+√4=√4;1=1-4+4;1=1/√4*√4;1-1=√4-√4;1/1=4/4;1¹*√4=√4;1*1=√4/√4;1+1=4/√4;1¹=4/4;1/1=√4/√4;1-1+4=4;1=1/4*4;1¹=√4/√4;1*1*√4=√4;1/1*4=4;1*1=4/4;1=1*√4/√4;1=1*4/4;1=1-√4+√4;1+1=4-√4;1¹*4=4;1-1=4-4,easy
1145,1¹+4=5;1+1*4=5;1*1+4=5;1/1+4=5,easy
1146,1+1+4=6,hard
1149,1¹=4-√9;1=1*4-√9;1*1=4-√9;1*1+√4=√9;1¹+√4=√9;1/1+√4=√9;1/1=4-√9;1+1*√4=√9,medium
1150,1=1-5*0;1=1*5⁰;1*1=5⁰;1=1+5*0;1¹=5⁰;1-1=5*0;1/1=5⁰;1=1/5⁰,easy
1153,1+1=5-3,hard
1154,1=1*5-4;1*1=5-4;1¹=5-4;1/1=5-4,easy
1155,1=1+5-5;1¹=5/5;1=1-5+5;1-1+5=5;1*1*5=5;1/1*5=5;1¹*5=5;1-1=5-5;1*1=5/5;1=1/5*5;1=1*5/5;1/1=5/5,easy
1156,1/1+5=6;1¹+5=6;1*1+5=6;1+1*5=6,easy
1157,1+1+5=7,hard
1159,1+1=5-√9,hard
1160,1/1=6⁰;1*1=6⁰;1=1*6⁰;1=1/6⁰;1=1+6*0;1=1-6*0;1¹=6⁰;1-1=6*0,easy
1163,1+1=6/3,hard
1164,1+1=6-4,hard
1165,1/1=6-5;1¹=6-5;1*1=6-5;1=1*6-5,easy
1166,1=1+6-6;1-1=6-6;1=1-6+6;1=1/6*6;1*1*6=6;1¹*6=6;1/1*6=6;1/1=6/6;1-1+6=6;1¹=6/6;1*1=6/6;1=1*6/6,easy
1167,1*1+6=7;1/1+6=7;1+1*6=7;1¹+6=7,easy
1168,1+1+6=8,hard
1169,1+1=6/√9,hard
1170,1=1*7⁰;1=1-7*0;1=1/7⁰;1=1+7*0;1/1=7⁰;1¹=7⁰;1*1=7⁰;1-1=7*0,easy
1175,1+1=7-5,hard
1176,1/1=7-6;1¹=7-6;1=1*7-6;1*1=7-6,easy
1177,1*1*7=7;1/1=7/7;1=1*7/7;1-1+7=7;1=1+7-7;1-1=7-7;1=1/7*7;1¹*7=7;1/1*7=7;1*1=7/7;1=1-7+7;1¹=7/7,easy
1178,1*1+7=8;1+1*7=8;1/1+7=8;1¹+7=8,easy
1179,1+1+7=9,hard
1180,1=1+8*0;1=1/8⁰;1=1*8⁰;1=1-8*0;1¹=8⁰;1*1=8⁰;1-1=8*0;1/1=8⁰,easy
1184,1+1=8/4,hard
1186,1+1=8-6,hard
1187,1/1=8-7;1*1=8-7;1¹=8-7;1=1*8-7,easy
1188,1=1+8-8;1*1=8/8;1¹*8=8;1/1=8/8;1*1*8=8;1=1/8*8;1-1=8-8;1/1*8=8;1-1+8=8;1=1*8/8;1=1-8+8;1¹=8/8,easy
1189,1+1*8=9;1/1+8=9;1*1+8=9;1¹+8=9,easy
1190,1*1=9⁰;1=1-√9*0;1/1=√9⁰;1=1/√9⁰;1=1-9*0;1=1*√9⁰;1¹=9⁰;1*1=√9⁰;1-1=9*0;1-1=√9*0;1¹=√9⁰;1=1/9⁰;1=1+9*0;1=1*9⁰;1=1+√9*0;1/1=9⁰,easy
1191,1+1=√9-1,hard
1192,1¹=√9-2;1/1=√9-2;1=1*√9-2;1*1=√9-2,medium
1193,1=1+√9-3;1-1+√9=3;1/1*√9=3;1/1=√9/3;1*1*√9=3;1=1-√9+3;1=1/√9*3;1-1=√9-3;1¹=√9/3;1¹*√9=3;1=1*√9/3;1*1=√9/3,medium
1194,1/1=√9-√4;1¹+√9=4;1¹=√9-√4;1+1*√9=4;1*1=√9-√4;1*1+√9=4;1/1+√9=4;1=1*√9-√4,medium
1195,1+1+√9=5,hard
1197,1+1=9-7,hard
1198,1/1=9-8;1¹=9-8;1=1*9-8;1*1=9-8,easy
1199,1=1+9-9;1=1+√9-√9;1-1=√9-√9;1*1=√9/√9;1*1*9=9;1-1+√9=√9;1-1=9-9;1-1+9=9;1=1-9+9;1¹=√9/√9;1/1=9/9;1/1*9=9;1=1/√9*√9;1=1*9/9;1=1-√9+√9;1¹*√9=√9;1¹=9/9;1*1*√9=√9;1¹*9=9;1=1*√9/√9;1/1*√9=√9;1=1/9*9;1*1=9/9;1/1=√9/√9,easy
1200,1/2*0=0;1=2-0⁰;1²*0=0;1-2⁰=0;1=2⁰-0;1=2⁰+0;1*2*0=0;1²=0⁰,easy
1201,1/2⁰=1;1²⁰=1;1=2⁰*1;1+2*0=1;1²-0=1;1=2*0+1;1=2⁰/1;1²=0+1;1²+0=1;1-2=0-1;1-2*0=1;1=2+0-1;1=2⁰¹;1*2⁰=1;1=2-0-1,easy
1202,1+2⁰=2;1*2-0=2;1*2=0+2;1*2+0=2;1=2⁰²,easy
1203,1+2=0+3;1+2+0=3;1+2-0=3,easy
1204,1+2⁰=√4;1*2+0=√4;1*2=0+√4;1*2-0=√4,medium
1209,1+2=0+√9;1+2-0=√9;1+2+0=√9,medium
1210,1²=1-0;1²-1=0;1=2-1-0;1=2-1⁰;1²=1+0;1-2+1=0;1=2-1+0;1²=1⁰,easy
1211,1²/1=1;1=2-1¹;1=2*1-1;1²=1¹;1=2-1*1;1=2-1/1;1=2¹-1;1²¹=1;1²*1=1;1*2-1=1;1=2/1-1;1²=1/1;1²=1*1;1*2=1+1,easy
1212,1²=1²;1=2+1-2;1*2*1=2;1=2/1/2;1²+1=2;1=2-1²;1=2¹/2;1*2=1*2;1/2=1/2;1+2=1+2;1=2*1/2;1+2-1=2;1*2¹=2;1-2=1-2;1*2/1=2,easy
1213,1+2¹=3;1+2/1=3;1+2=1*3;1*2+1=3;1+2*1=3,easy
1214,1+2+1=4;1=2+1-√4;1*2*1=√4;1=2¹/√4;1-2=1-√4;1*2=1*√4;1+2-1=√4;1=2*1/√4;1*2/1=√4;1/2=1/√4;1=2/1/√4;1+2=1+√4;1²+1=√4;1*2¹=√4,medium
1219,1+2/1=√9;1+2*1=√9;1+2=1*√9;1+2¹=√9;1*2+1=√9,medium
1220,1*2=2+0;1=2-2⁰;1=2/2-0;1*2=2-0;1=2/2+0;1*2-2=0;1²=2⁰;1-2/2=0,easy
1221,1*2/2=1;1=2-2+1;1=2/2/1;1*2=2/1;1*2=2¹;1²²=1;1+2-2=1;1*2=2*1;1+2=2+1;1-2+2=1;1/2*2=1;1=2/2¹;1=2/2*1;1²=2-1,easy
1222,1+2/2=2;1²*2=2;1=2-2/2;1²=2/2,easy
1223,1-2=2-3;1=2²-3;1²+2=3;1=2+2-3;1=2*2-3,easy
1224,1²=2/√4;1/2=2/4;1*2²=4;1*2+2=4;1+2/2=√4;1=2*2/4;1*2*2=4;1=2²/4;1=2-2/√4;1²*2=√4,easy
1225,1+2²=5;1+2+2=5;1+2*2=5,easy
1229,1=2+2-√9;1²+2=√9;1-2=2-√9;1=2*2-√9;1=2²-√9,medium
1230,1+2-3=0;1²=3⁰;1=2-3⁰;1+2=3-0;1+2=3+0,easy
1231,1+2=3*1;1+2=3/1;1+2=3¹;1*2=3-1,easy
1232,1=2-3+2;1²=3-2;1-2+3=2,easy
1233,1=2-3/3;1²*3=3;1²=3/3,medium
1234,1=2-3+√4;1²=3-√4;1=2+3-4;1-2+3=√4;1-2=3-4;1²+3=4,easy
1235,1*2+3=5;1=2*3-5,easy
1236,1=2*3/6;1/2=3/6;1*2*3=6;1+2+3=6,easy
1237,1+2*3=7,hard
1239,1=2-3/√9;1²*3=√9;1²=3/√9,medium
1240,1²=√4⁰;1²=4⁰;1=2/√4+0;1*2=√4+0;1=2/√4-0;1=2-√4⁰;1*2=√4-0;1*2-√4=0;1-2/√4=0;1=2-4⁰,medium
1241,1=2/√4*1;1/2*√4=1;1+2=4-1;1*2=√4*1;1+2-√4=1;1=2-√4+1;1*2/√4=1;1²=√4-1;1=2/√4¹;1*2=√4¹;1=2/√4/1;1*2=√4/1;1-2+√4=1;1+2=√4+1,medium
1242,1=2-√4/2;1*2=4-2;1/2*4=2;1²*√4=2;1+2/√4=2;1²=√4/2;1=2/4*2;1*2=4/2,easy
1243,1²=4-3;1-2=√4-3;1-2+4=3;1=2-4+3;1=2*√4-3;1²+√4=3;1=2+√4-3,easy
1244,1=2/4*√4;1/2*4=√4;1²*4=4;1=2-4/4;1*2=4/√4;1*2+√4=4;1=2-√4/√4;1+2/√4=√4;1*2=4-√4;1=2*√4/4;1/2=√4/4;1²=√4/√4;1²*√4=√4;1²=4/4;1*2*√4=4,medium
1245,1+2*√4=5;1²+4=5;1-2=4-5;1+2+√4=5;1=2+4-5,easy
1246,1*2+4=6,hard
1247,1+2+4=7;1=2*4-7,easy
1248,1/2=4/8;1*2*4=8;1=2*4/8,easy
1249,1=2-4+√9;1=2*√4-√9;1-2=√4-√9;1=2+√4-√9;1+2*4=9;1²+√4=√9;1²=4-√9;1-2+4=√9,medium
1250,1=2-5⁰;1²=5⁰,hard
1252,1+2=5-2,hard
1253,1*2=5-3,hard
1254,1=2-5+4;1+2=5-√4;1-2+5=4;1²=5-4,easy
1255,1=2-5/5;1²*5=5;1²=5/5,medium
1256,1=2+5-6;1-2=5-6;1²+5=6,easy
1257,1*2+5=7,hard
1258,1+2+5=8,hard
1259,1*2=5-√9;1=2*5-9,medium
1260,1²=6⁰;1=2-6⁰,hard
1262,1+2=6/2,hard
1263,1+2=6-3;1=2/6*3;1/2*6=3;1*2=6/3,easy
1264,1*2=6-4;1+2=6/√4,medium
1265,1-2+6=5;1²=6-5;1=2-6+5,easy
1266,1²=6/6;1=2-6/6;1²*6=6,medium
1267,1-2=6-7;1=2+6-7;1²+6=7,easy
1268,1*2+6=8,hard
1269,1*2=6/√9;1+2+6=9;1/2*6=√9;1=2/6*√9;1+2=6-√9,medium
1270,1²=7⁰;1=2-7⁰,hard
1274,1+2=7-4,hard
1275,1*2=7-5,hard
1276,1=2-7+6;1²=7-6;1-2+7=6,easy
1277,1²*7=7;1=2-7/7;1²=7/7,medium
1278,1=2+7-8;1-2=7-8;1²+7=8,easy
1279,1*2+7=9,hard
1280,1=2-8⁰;1²=8⁰,hard
1284,1=2/8*4;1/2*8=4;1*2=8/4,easy
1285,1+2=8-5,hard
1286,1*2=8-6,hard
1287,1-2+8=7;1²=8-7;1=2-8+7,easy
1288,1²=8/8;1²*8=8;1=2-8/8,medium
1289,1-2=8-9;1=2+8-9;1²+8=9,easy
1290,1=2-√9⁰;1+2=√9-0;1=2-9⁰;1+2=√9+0;1²=√9⁰;1²=9⁰;1+2-√9=0,medium
1291,1+2=√9/1;1*2=√9-1;1+2=√9¹;1+2=√9*1,medium
1292,1=2-√9+2;1²=√9-2;1-2+√9=2,medium
1293,1²=√9/3;1²*√9=3;1=2-√9/3;1+2=9/3,medium
1294,1=2+√9-4;1²=√9-√4;1-2+√9=√4;1-2=√9-4;1=2-√9+√4;1²+√9=4,medium
1295,1*2+√9=5;1=2*√9-5,hard
1296,1+2=9-6;1+2+√9=6;1/2=√9/6;1=2*√9/6;1*2*√9=6,medium
1297,1*2=9-7;1+2*√9=7,medium
1298,1²=9-8;1-2+9=8;1=2-9+8,easy
1299,1²=9/9;1²=√9/√9;1=2-√9/√9;1=2-9/9;1²*√9=√9;1+2=9/√9;1²*9=9,medium
1300,1*3*0=0;1=3⁰-0;1/3*0=0;1-3⁰=0;1=3⁰+0,easy
1301,1-3*0=1;1=3*0+1;1*3⁰=1;1/3⁰=1;1+3*0=1;1=3⁰¹;1=3⁰*1;1=3⁰/1,easy
1302,1=3-0-2;1=3+0-2;1=3⁰²;1+3⁰=2;1-3=0-2,easy
1303,1*3+0=3;1*3=0+3;1*3-0=3,easy
1304,1-3=0-√4;1+3+0=4;1=3+0-√4;1+3=0+4;1+3-0=4;1=3-0-√4;1+3⁰=√4,easy
1309,1*3-0=√9;1*3+0=√9;1*3=0+√9,medium
1311,1=3-1-1,hard
1312,1=3*1-2;1*3-1=2;1*3=1+2;1=3-1*2;1=3/1-2;1=3¹-2,easy
1313,1=3¹/3;1=3/1/3;1+3-1=3;1+3=1+3;1*3=1*3;1*3*1=3;1=3*1/3;1/3=1/3;1*3¹=3;1-3=1-3;1=3+1-3;1*3/1=3,easy
1314,1=3/1-√4;1*3+1=4;1+3=1*4;1+3/1=4;1+3¹=4;1=3-1*√4;1*3-1=√4;1*3=1+√4;1+3*1=4;1=3*1-√4;1=3¹-√4,easy
1315,1+3+1=5,hard
1319,1*3/1=√9;1=3+1-√9;1=3*1/√9;1*3*1=√9;1/3=1/√9;1*3=1*√9;1=3¹/√9;1+3=1+√9;1+3-1=√9;1*3¹=√9;1=3/1/√9;1-3=1-√9,medium
1320,1=3-2+0;1=3-2-0;1-3+2=0,easy
1321,1*3-2=1;1*3=2+1;1=3-2*1;1=3-2/1;1=3-2¹,easy
1322,1+3=2*2;1+3=2+2;1+3=2²;1+3-2=2,easy
